COMP ID,S100/8123,S101/8118,S102/8145,S103/8150,S104/8162,S105/8151,S106/8079,S107/8192,S108/8103,S109/8446,S110/8096,S111/8449,S112/8459,S113/8451,S114/8452,S115/8234,S116/8209,S117/8026,S118/8490,S119/8130,S120/8477,S121/8264,S122/8134,S123/8176,S124/8220,S125/8210,S126/8135,S127/8112,S128/8202,S129/8204,S130/8507,S131/8274,S132/8297,S133/8222,S134/8546,S135/8381,S136/8391,S137/8574,S138/8047,S139/8583,S140/8013,S141/8080,S142/8621,S143/8071,S144/8417,S145/8371,S146/8430,S147/8639,S148/8242,S149/8312
HMDB05021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,496","126,297,320",,,"40,798,944",,,,,,,,,
HMDB03072,"38,310,860","88,364,184","30,261,552",,"31,877,312","17,338,132","34,305,416","9,950,948","10,247,110","814,485","16,998,908","9,405,319","18,298,174","5,645,225","10,264,737","2,537,180","803,476","682,105","59,251,912","374,786","23,978,928","4,726,186","1,292,314",,"649,730","20,985,722","20,034,122","2,279,366","152,329","94,816,616","1,136,258","1,135,384","322,792","19,071,000","33,523,058","156,130","1,379,975","4,851,874","17,375,566","23,927,046","711,438","2,321,389","943,733","739,253","18,869,524","6,159,538","2,888,143","15,698,679","610,224","22,249,564"
HMDB00232,"421,596","250,882","179,414","536,897","579,867","649,153","277,508","562,972","308,254","451,991","183,502","566,429","548,297","488,981","377,503","308,410","1,035,293","226,959","546,806","517,136","697,918","315,774","543,214","546,158","331,862","936,142","1,119,199","196,323","421,124","279,393","711,430","406,726","687,370","749,360","854,012","460,909","540,317","293,809","518,957","384,987","478,079","598,219","1,376,600","534,894","860,195","280,592","283,344","660,177","253,073","398,662"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,415,021",,,,,,,,,,,,,,,,,,,
HMDB01358,"30,485","22,612","29,871","20,181","39,035","20,379","71,844","68,533","29,201","88,461",,,"57,383","51,701",,"58,631",,"55,340","78,460","30,313",,"49,013","39,922","24,786","31,153","32,670",,"30,198","17,895","41,430",,"44,887","69,424","51,095","59,600","38,410","20,301","101,719","54,155","69,881","20,783","26,625",,,"101,019","18,327","84,989","29,844","69,216","75,540"
HMDB00305,"18,322,812","16,502,859","11,329,591","13,373,805","14,853,082","17,769,208","26,246,652","29,671,872","14,783,511","30,189,284","16,263,234","21,187,240","23,979,044","25,123,400","13,026,322","19,263,090","4,331,522","22,263,092","18,297,928","18,571,522","11,643,593","22,743,296","19,865,964","17,684,328","17,529,772","21,354,052","14,550,719","26,771,618","12,526,618","26,391,320","10,874,561","17,965,080","21,716,212","23,699,108","24,266,992","18,831,644","16,613,822","23,892,288","23,590,780","29,219,126","16,658,223","16,569,615","15,909,121","13,985,704","28,071,484","10,668,887","33,292,652","16,947,616","20,605,520","24,499,312"
HMDB00508,"204,522","203,579","215,740","179,477","195,557","174,652","223,954","297,296","159,946","155,276","190,063","293,935","193,639","238,498","193,429","246,557","438,335","439,844","265,261","265,374","201,017","287,001","210,226","149,788","220,017","199,218","151,176","249,976","280,741","190,551","283,147","185,771","93,655","252,931","317,911","138,426","238,092","165,324","212,790","202,730","487,164","153,892","193,283","125,139","602,214","172,376","225,595","154,886","222,383","258,684"
HMDB00867,"4,927,629","7,328,102","8,611,527","3,543,817","6,631,631","4,852,482","3,767,358","3,597,822","5,370,181","6,050,194","6,840,891","9,323,604","5,577,280","4,842,823","3,017,940","5,091,949","10,224,672","3,826,397","8,887,830","12,505,798","6,933,492","4,357,218","6,250,994","4,073,386","4,545,224","3,487,602","3,583,679","6,000,747","7,273,852","10,240,653","7,932,855","5,198,154","4,090,819","5,000,268","7,901,491","4,039,493","4,307,815","2,603,308","9,887,740","5,658,017","16,244,322","5,690,650","3,927,922","4,620,872","23,220,430","3,601,278","7,546,523","5,399,716","4,909,546","5,910,889"
,"20,110,746","19,015,996","13,834,363","6,169,366","19,398,588","22,522,864","11,479,621","20,702,172","17,555,312","23,191,180","18,284,302","22,764,072","19,557,128","21,652,752","36,590,128","17,984,652","17,874,080","12,048,676","17,846,100","11,565,349","14,808,559","16,987,452","19,029,000","15,039,589","10,030,777","25,668,716","13,243,239","18,419,388","12,124,765","23,895,722","20,624,554","13,885,713","14,895,213","13,811,690","13,207,998","13,507,564","11,205,248","14,362,687","18,584,932","28,663,682","40,931,944","15,900,026","15,930,590","13,918,079","15,911,286","12,107,396","20,169,684","12,250,414","14,415,694","26,429,180"
HMDB61725,,,,"6,294,278",,,,,,"8,841,598",,,,,,,"5,280,502",,,,,,,,,,,,,,,,,,,,,,,"3,239,777",,,"3,992,458",,,,,,,
